id,x,y,z,region,family,speed,ref_reachable,ref_temporal,ref_best,triad_completePlans,triad_admissible,triad_committed,triad_completed,triad_outcome,classification
H022,0.65,0.3,0.35,interior,plus_y,0.08,yes,yes,"{'lead': 6.0, 'err': 0.00834, 'tmin': 1.174, 'temporal': True, 'margin': 3.426}",231,23,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H023,0.65,0.3,0.35,interior,minus_y,0.08,yes,yes,"{'lead': 8.0, 'err': 0.0069, 'tmin': 1.305, 'temporal': True, 'margin': 5.295}",34,34,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H024,0.65,0.3,0.35,interior,diag_xz,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00964, 'tmin': 1.298, 'temporal': True, 'margin': 5.302}",331,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H025,0.6,-0.2,0.2,height_sweep,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00738, 'tmin': 1.8, 'temporal': True, 'margin': 4.8}",43,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H026,0.6,-0.2,0.2,height_sweep,plus_y,0.08,yes,yes,"{'lead': 7.9, 'err': 0.00911, 'tmin': 1.24, 'temporal': True, 'margin': 5.26}",548,9,False,False,E_COMMIT_FRESHNESS_REJECTED,R4_REFERENCE_FEASIBLE_TRIAD_FRESHNESS_REJECT
H027,0.6,-0.2,0.2,height_sweep,diag_xz,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00813, 'tmin': 1.448, 'temporal': True, 'margin': 5.152}",5,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H028,0.6,-0.2,0.35,height_sweep,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.0062, 'tmin': 1.59, 'temporal': True, 'margin': 5.01}",3,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H029,0.6,-0.2,0.35,height_sweep,plus_y,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00449, 'tmin': 2.09, 'temporal': True, 'margin': 4.51}",60,32,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H030,0.6,-0.2,0.35,height_sweep,diag_xz,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00654, 'tmin': 0.971, 'temporal': True, 'margin': 5.629}",48,13,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H031,0.6,-0.2,0.5,height_sweep,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00441, 'tmin': 1.425, 'temporal': True, 'margin': 5.175}",12,7,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H032,0.6,-0.2,0.5,height_sweep,plus_y,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00672, 'tmin': 1.214, 'temporal': True, 'margin': 5.386}",138,82,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H033,0.6,-0.2,0.5,height_sweep,diag_xz,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00929, 'tmin': 0.796, 'temporal': True, 'margin': 5.804}",235,51,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H034,0.58,0.25,0.3,speed_sweep,minus_x,0.05,yes,yes,"{'lead': 8.0, 'err': 0.00523, 'tmin': 1.829, 'temporal': True, 'margin': 4.771}",151,21,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
